id,display_name,archetype,max_hp,defense,evasion,speed,start_distance,knockback_resistance
rusher,폭동 돌격병,0,6,0,2,3,10,0
tank,진압 방패병,1,12,3,1,1,12,2
dodger,나노 침투병,2,8,0,7,2,9,0
caster,보안 캐스터,3,8,1,2,0,10,1
absorber_mech,나노 흡수 보안로봇,4,15,4,0,1,12,3
scrambler_drone,전파 방해 드론,5,6,1,5,3,8,1
boss_director,보안부장 디렉터 강,6,20,4,1,1,12,1
boss_seraph,세라프 프로토콜,7,15,2,1,0,15,3
boss_omega,실험체 Ω 프로젝트 오메가,8,25,5,1,1,14,2
boss_lob_core,L.O.B 코어 프로젝트 라스트,9,30,3,1,0,15,3
sentry_drone,경보 공중 드론,2,4,0,5,2,10,1
nano_stalker,실험체 03 나노 스토커,2,4,0,9,2,10,0
neuro_caster,오염 수석연구원 Dr. 유,3,12,1,2,0,12,0
